file,landmark,x,y,z
CanCan08_B 2026-02-04_12-21-25.obj,r_armpit,-17.93214719,nan,128.6934987
CanCan08_B 2026-02-04_12-21-25.obj,l_armpit,18.93817906,nan,129.9866401
CanCan08_B 2026-02-04_12-21-25.obj,r_hip,-19.58,8.35,95.1231068
CanCan08_B 2026-02-04_12-21-25.obj,l_hip,18.99,8.86,95.1231068
CanCan08_B 2026-02-04_12-21-25.obj,r_foot,-14.55,1.64,-0.01
CanCan08_B 2026-02-04_12-21-25.obj,l_foot,22.33,-7.41,-0.03
CanCan08_B 2026-02-04_12-21-25.obj,crotch,-0.75,10.12,82.15581559
CanCan08_B 2026-02-04_12-21-25.obj,l_ankle,15.2852381,13.20285714,15.53380952
CanCan08_B 2026-02-04_12-21-25.obj,r_ankle,-15.57,13.62105263,15.57368421
CanCan08_B 2026-02-04_12-21-25.obj,lShoulder,19.43,8.89,151.35
CanCan08_B 2026-02-04_12-21-25.obj,rShoulder,-17.97,12.87,151.37
CanCan08_B 2026-02-04_12-21-25.obj,collar,0.73,10.88,151.36
CanCan08_B 2026-02-04_12-21-25.obj,lowerBack,-0.67,25.05,96.55
CanCan08_B 2026-02-04_12-21-25.obj,nose_tip,0.9,-8.59,165.72
CanCan10_A 2026-02-27_09-49-56.obj,r_wrist,-36.57214286,-9.067857143,92.15857143
CanCan10_A 2026-02-27_09-49-56.obj,l_wrist,36.26058824,-5.406470588,91.96529412
CanCan10_A 2026-02-27_09-49-56.obj,r_armpit,-22.75971846,nan,123.5323523
CanCan10_A 2026-02-27_09-49-56.obj,l_armpit,17.92130693,nan,123.9092062
CanCan10_A 2026-02-27_09-49-56.obj,r_hip,-23.89,2.25,88.06201923
CanCan10_A 2026-02-27_09-49-56.obj,l_hip,18.22,2.41,88.06201923
CanCan10_A 2026-02-27_09-49-56.obj,r_foot,-22.87,15.07,-9.227713632e-16
CanCan10_A 2026-02-27_09-49-56.obj,l_foot,14.09,11.6,-0.02
CanCan10_A 2026-02-27_09-49-56.obj,crotch,-2.87,4.83,74.52275538
CanCan10_A 2026-02-27_09-49-56.obj,l_ankle,16.16684211,9.494210526,15.77947368
CanCan10_A 2026-02-27_09-49-56.obj,r_ankle,-20.05789474,9.99,14.61421053
CanCan10_A 2026-02-27_09-49-56.obj,lShoulder,18.66,6.29,147.17
CanCan10_A 2026-02-27_09-49-56.obj,rShoulder,-22.88,6.35,148.22
CanCan10_A 2026-02-27_09-49-56.obj,collar,-2.11,6.32,147.695
CanCan10_A 2026-02-27_09-49-56.obj,lowerBack,-3.21,18.39,89.36
CanCan10_A 2026-02-27_09-49-56.obj,nose_tip,-2.87,-12.64,163.94
CanCan10_B 2026-02-27_09-55-20.obj,r_wrist,-37.80461538,1.017692308,90.14615385
CanCan10_B 2026-02-27_09-55-20.obj,l_wrist,37.73052632,0.03684210526,92.10421053
CanCan10_B 2026-02-27_09-55-20.obj,r_armpit,-21.27436867,nan,123.7737067
CanCan10_B 2026-02-27_09-55-20.obj,l_armpit,20.17491062,nan,124.1186303
CanCan10_B 2026-02-27_09-55-20.obj,r_hip,-22.29,9.02,88.32226415
CanCan10_B 2026-02-27_09-55-20.obj,l_hip,20.34,8.56,88.32226415
CanCan10_B 2026-02-27_09-55-20.obj,r_foot,-14.53,13.16,-0.01
CanCan10_B 2026-02-27_09-55-20.obj,l_foot,20.51,-7.77,-0.04
CanCan10_B 2026-02-27_09-55-20.obj,crotch,0.01,8.78,74.59230035
CanCan10_B 2026-02-27_09-55-20.obj,l_ankle,17.42263158,13.75210526,14.43526316
CanCan10_B 2026-02-27_09-55-20.obj,r_ankle,-17.7685,14.01,15.2075
CanCan10_B 2026-02-27_09-55-20.obj,lShoulder,20.84,13.75,147.16
CanCan10_B 2026-02-27_09-55-20.obj,rShoulder,-22.56,12.69,147
CanCan10_B 2026-02-27_09-55-20.obj,collar,-0.86,13.22,147.08
CanCan10_B 2026-02-27_09-55-20.obj,lowerBack,0.12,23.02,86.58
CanCan10_B 2026-02-27_09-55-20.obj,nose_tip,-2.42,-7.47,164.87
cancan07_A 2026-01-28_11-48-32.obj,r_wrist,-34.52176471,-2.272352941,84.59588235
cancan07_A 2026-01-28_11-48-32.obj,l_wrist,34.87666667,0.9553333333,83.27333333
cancan07_A 2026-01-28_11-48-32.obj,r_armpit,-15.58600516,nan,121.2773041
cancan07_A 2026-01-28_11-48-32.obj,l_armpit,16.29543013,nan,124.0322643
cancan07_A 2026-01-28_11-48-32.obj,r_hip,-19.04,-1.68,86.6334
cancan07_A 2026-01-28_11-48-32.obj,l_hip,19.33,-0.32,86.6334
cancan07_A 2026-01-28_11-48-32.obj,r_foot,-21.07,9.54,-0.01
cancan07_A 2026-01-28_11-48-32.obj,l_foot,9.37,1.16,-0.01
cancan07_A 2026-01-28_11-48-32.obj,crotch,-0.52,0.92,73.66182149
cancan07_A 2026-01-28_11-48-32.obj,l_ankle,11.78315789,5.632105263,14.51157895
cancan07_A 2026-01-28_11-48-32.obj,r_ankle,-14.31809524,5.213809524,12.62142857
cancan07_A 2026-01-28_11-48-32.obj,lShoulder,16.7,3.39,143.59
cancan07_A 2026-01-28_11-48-32.obj,rShoulder,-17.18,0.95,142.92
cancan07_A 2026-01-28_11-48-32.obj,collar,-0.24,2.17,143.255
cancan07_A 2026-01-28_11-48-32.obj,lowerBack,-0.69,14.53,87.84
cancan07_A 2026-01-28_11-48-32.obj,nose_tip,-1.19,-12.81,157.31
